1|http://purl.obolibrary.org/obo/PATO_0000263	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000928	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000456	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000970	http://purl.obolibrary.org/obo/PATO_0000141|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001287	http://purl.obolibrary.org/obo/PATO_0000952|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000374	http://purl.obolibrary.org/obo/PATO_0000040|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002366	http://purl.obolibrary.org/obo/PATO_0000384|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000396	http://purl.obolibrary.org/obo/PATO_0000049|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001675	http://purl.obolibrary.org/obo/PATO_0001678|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000131	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12574	http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12573|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002146	http://purl.obolibrary.org/obo/PATO_0001995|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001796	http://purl.obolibrary.org/obo/PATO_0002303|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001980	http://purl.obolibrary.org/obo/PATO_0000052|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001893	http://purl.obolibrary.org/obo/PATO_0002305|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001597	http://purl.obolibrary.org/obo/PATO_0000614|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001681	http://purl.obolibrary.org/obo/PATO_0000125|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001029	http://purl.obolibrary.org/obo/PATO_0001018|0 0 
4|http://purl.obolibrary.org/obo/PATO_0001304	http://purl.obolibrary.org/obo/pato#towards	http://purl.obolibrary.org/obo/PATO_0000146|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001342	http://purl.obolibrary.org/obo/PATO_0001337|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000102	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000487	http://purl.obolibrary.org/obo/PATO_0000077|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000475	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12796	http://ontology.neuinfo.org/NIF/Backend/BIRNLex-OBI-proxy.owl#birnlex_11013|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001578	http://purl.obolibrary.org/obo/PATO_0000982|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000969	http://purl.obolibrary.org/obo/PATO_0000587|0 0 
1|http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12771	http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12669|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001330	http://purl.obolibrary.org/obo/PATO_0000043|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001197	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000438	http://purl.obolibrary.org/obo/PATO_0001303|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000534	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002371	http://purl.obolibrary.org/obo/PATO_0002370|0 0 
1|http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#CurationStatus	http://ontology.neuinfo.org/NIF/Backend/OBO_annotation_properties.owl#EnumerationClass|0 0 
1|http://ontology.neuinfo.org/NIF/Backend/BIRNLex-OBO-UBO.owl#birnlex_1	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001028	http://purl.obolibrary.org/obo/PATO_0001906|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001024	http://purl.obolibrary.org/obo/PATO_0001018|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000027	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001115	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000157	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000159	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000121	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000966	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000494	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002115	http://purl.obolibrary.org/obo/PATO_0000025|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000825	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000410	http://purl.obolibrary.org/obo/PATO_0000052|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000021	http://purl.obolibrary.org/obo/PATO_0000186|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000459	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000614	http://purl.obolibrary.org/obo/PATO_0000440|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001316	http://purl.obolibrary.org/obo/PATO_0001305|0 0 
1|http://protege.stanford.edu/plugins/owl/protege#DIRECTED-BINARY-RELATION	http://ontology.neuinfo.org/NIF/Backend/_backend_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000553	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12731	http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12726|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001977	http://purl.obolibrary.org/obo/PATO_0000052|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002122	http://purl.obolibrary.org/obo/PATO_0000025|0 0 
1|http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#nlx_dys_20090601	http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#nlx_dys_20090501|0 0 
1|http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12577	http://ontology.neuinfo.org/NIF/Dysfunction/NIF-Dysfunction.owl#birnlex_12573|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000046	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000612	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002102	http://purl.obolibrary.org/obo/PATO_0001396|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000344	http://purl.obolibrary.org/obo/PATO_0000021|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000173	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000918	http://purl.obolibrary.org/obo/PATO_0001710|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000992	http://purl.obolibrary.org/obo/PATO_0001548|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002245	http://purl.obolibrary.org/obo/PATO_0002305|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000105	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000478	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001009	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002134	http://purl.obolibrary.org/obo/PATO_0000025|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001477	http://purl.obolibrary.org/obo/PATO_0000140|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000572	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002103	http://purl.obolibrary.org/obo/PATO_0000141|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000381	http://purl.obolibrary.org/obo/PATO_0000911|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001649	http://purl.obolibrary.org/obo/PATO_0000406|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000180	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000537	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000065	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://ontology.neuinfo.org/NIF/Backend/BIRNLex-OBO-UBO.owl#birnlex_4	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001672	http://purl.obolibrary.org/obo/PATO_0001476|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000365	http://purl.obolibrary.org/obo/PATO_0000039|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001164	http://purl.obolibrary.org/obo/PATO_0001019|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001381	http://purl.obolibrary.org/obo/PATO_0001377|0 0 
1|http://purl.obolibrary.org/obo/PATO_0002051	http://purl.obolibrary.org/obo/PATO_0000057|0 0 
1|http://purl.obolibrary.org/obo/PATO_0001854	http://purl.obolibrary.org/obo/PATO_0000060|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000124	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000320	http://purl.obolibrary.org/obo/PATO_0000014|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000497	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
1|http://purl.obolibrary.org/obo/PATO_0000194	http://ontology.neuinfo.org/NIF/Backend/BIRNLex_annotation_properties.owl#_birnlex_retired_class|0 0 
