step,loss
0,130.6295637896966
1,130.53255740272465
2,130.43104757731498
3,130.3286483803463
4,130.22605157952205
5,130.12406027700743
6,130.0218717001048
7,129.91951241572687
8,129.8170019003469
9,129.71430592446367
10,129.61195078489146
11,129.50983684569508
12,129.40746538203993
13,129.30507247075604
14,129.20243010890857
15,129.10075189141125
16,128.99879473155664
17,128.89670453995186
18,128.79458725650284
19,128.6922836401808
20,128.59026639969488
21,128.4883688234952
22,128.3865267584224
23,128.28457267600163
24,128.18231233590052
25,128.08071704786002
26,127.97915634269042
27,127.8772948699206
28,127.77541510933382
29,127.67343953649907
30,127.5721548652966
31,127.4706699451691
32,127.36893383370344
33,127.26717042210097
34,127.1651931414511
35,127.06358427013673
36,126.96243273773149
37,126.8610563049308
38,126.75962821786999
39,126.65809725955444
40,126.55679885487851
41,126.4555320758497
42,126.35425111346086
43,126.25300360838752
44,126.15161174552071
45,126.05029976190093
46,125.94917771996279
47,125.84777505199492
48,125.74650401994663
49,125.64536142032966
50,125.54387716417169
51,125.44292166087304
52,125.34199621087632
53,125.24091761324127
54,125.13969705762948
55,125.03912476610742
56,124.9384033203989
57,124.83744919897076
58,124.7363488606967
59,124.63550411313246
60,124.53478601419232
61,124.43375909519388
62,124.33269526959887
63,124.23197512092943
64,124.1312893347897
65,124.03057157285724
66,123.93003609989549
67,123.82936968594132
68,123.72857933245571
69,123.62803172925499
70,123.52773552089073
71,123.42719422280877
72,123.32654182470374
73,123.22610123638697
74,123.12591480694927
75,123.02559607490423
76,122.92533077179341
77,122.8251816190274
78,122.72512077413458
79,122.6250448194483
80,122.5249738415791
81,122.425129518599
82,122.32542925966737
83,122.22564069616335
84,122.12571337503104
85,122.02602887010534
86,121.9263475250309
87,121.82650394140738
88,121.72671012307241
89,121.62709263554272
90,121.5277956749072
91,121.42848368559441
92,121.32893852721413
93,121.22938388874206
94,121.13005997798459
95,121.03070799250064
96,120.93126109292929
97,120.83180040105456
98,120.73275771857601
99,120.63380128357018
100,120.53491806611028
101,120.43592745460828
102,120.33716775889562
103,120.23839342487327
104,120.13949792854407
105,120.04086860720935
106,119.94229519330541
107,119.84368369787367
108,119.74505173659723
109,119.64649954669177
110,119.54779364229023
111,119.4492896540863
112,119.35091271402109
113,119.25256025714158
114,119.15425118915945
115,119.05609994028114
116,118.95787184119341
117,118.85974340249433
118,118.76138249787742
119,118.66320415128023
120,118.56487096838353
121,118.4666295987185
122,118.36823535209896
123,118.27007796092131
124,118.17226667225808
125,118.07444773068069
126,117.97655296488504
127,117.87871816358559
128,117.78093659013606
129,117.68350225438571
130,117.58620376848141
131,117.48906916020528
132,117.39155633050888
133,117.29442384818718
134,117.19730929819718
135,117.10003065972501
136,117.00263665351063
137,116.90564365265956
138,116.80862205924971
139,116.71146395580087
140,116.61414868649797
141,116.51668892196122
142,116.42014999269705
143,116.3235699014588
144,116.22701499403026
145,116.13046565144546
146,116.03381553513783
147,115.93714549296936
148,115.84091998667984
149,115.7445503943116
150,115.64802934376313
151,115.55187602734063
152,115.45553040897799
153,115.35924834655394
154,115.2631023103227
155,115.16703269765748
156,115.0709117185874
157,114.97510412054841
158,114.87918657638811
159,114.78330602400588
160,114.68767473068966
161,114.59181726509779
162,114.49604107756981
163,114.40044935305012
164,114.30486946706655
165,114.20923057660053
166,114.113617866927
167,114.01811133630284
168,113.92240447598988
169,113.82713239743633
170,113.73192667096353
171,113.63642864348054
172,113.54093897632484
173,113.44578211927279
174,113.35056959387472
175,113.25531300081666
176,113.16006598606477
177,113.06487141353591
178,112.96973759992866
179,112.87446327510621
180,112.77945770949933
181,112.6844504795579
182,112.58933438905078
183,112.49421375634508
184,112.3992814599236
185,112.30421494763168
186,112.20939561770292
187,112.11459805653296
188,112.01970778513653
189,111.92518531162276
190,111.83077504726475
191,111.73623561973722
192,111.64171685888545
193,111.54739271498
194,111.45283681469489
195,111.35863463912155
196,111.2644531874818
197,111.17003619992528
198,111.07574439089854
199,110.98171380578891
200,110.88732826209862
201,110.79306896176502
202,110.69826616995786
203,110.60309125914542
204,110.50849104103733
205,110.41433174958985
206,110.32019444670355
207,110.22636501000991
208,110.13282825120703
209,110.03919178933288
210,109.94552381761281
211,109.8518834367876
212,109.75819524476749
213,109.66476989720248
214,109.57127743027209
215,109.47768540999132
216,109.38456986710516
217,109.2916334108531
218,109.19848369343168
219,109.10533188557554
220,109.01216682813666
221,108.91910397402715
222,108.82624899354545
223,108.73323670478074
224,108.63998571674979
225,108.54702230510657
226,108.4541209327268
227,108.36105375353772
228,108.26839513102135
229,108.17549790900009
230,108.08262593097461
231,107.98974436624053
232,107.89735763032539
233,107.80465698332009
234,107.71206044296734
235,107.61966927249661
236,107.52728071254343
237,107.4348035967393
238,107.34241178733332
239,107.25021529887545
240,107.15802695293657
241,107.06573535204654
242,106.97350984042409
243,106.88141087531241
244,106.78927372855442
245,106.69733117263243
246,106.60549028422585
247,106.51355023999028
248,106.42197590079857
249,106.33044932341029
250,106.23870959853448
251,106.14686840656174
252,106.0554337357047
253,105.96409352160047
254,105.87284297175567
255,105.78168385325942
256,105.69050935797546
257,105.59954190620721
258,105.50860377146313
259,105.41745275287084
260,105.3266267942164
261,105.23593495930135
262,105.1451193649337
263,105.05441537530032
264,104.96394999289443
265,104.87381600676932
266,104.78383055693247
267,104.69387313266901
268,104.60384757228532
269,104.51377547708466
270,104.42391062931921
271,104.33399589482988
272,104.2442336141807
273,104.15436635500295
274,104.06460464730128
275,103.97498497746815
276,103.88570981507647
277,103.7962298011566
278,103.70661073090112
279,103.61699966874538
280,103.52739312605817
281,103.43816734011003
282,103.34901304249526
283,103.25966214826515
284,103.17034842506166
285,103.08068850101475
286,102.99130515977365
287,102.90212066498346
288,102.81296694085087
289,102.72366738338961
290,102.63446182239886
291,102.545508820753
292,102.45655387275485
293,102.36722750218551
294,102.27845302421827
295,102.1895902692806
296,102.10069077347936
297,102.01161063114853
298,101.92241304862922
299,101.83339495607977
300,101.74440319630254
301,101.65562506071028
302,101.56670116897048
303,101.47772695317609
304,101.38896831526188
305,101.30016913520801
306,101.21123055637273
307,101.12263721801276
308,101.03402278684852
309,100.94543956761278
310,100.85671866955381
311,100.76812017563611
312,100.67970268660834
313,100.59146960803886
314,100.50310565482627
315,100.4146565243751
316,100.32634190525744
317,100.23808854850354
318,100.14968650992925
319,100.06140121416507
320,99.97311275294581
321,99.88472607501065
322,99.79629237119119
323,99.70804739018466
324,99.6197332440455
325,99.53118922010785
326,99.44296236104813
327,99.35464370349796
328,99.26642037163643
329,99.17783045189935
330,99.08947789704804
331,99.00134784527225
332,98.91304936911168
333,98.82462424339047
334,98.73626779240422
335,98.64786540503958
336,98.55952037186191
337,98.47111930224793
338,98.38291218035856
339,98.29484111348025
340,98.20673483846409
341,98.11839917032631
342,98.03021417114277
343,97.94205781492887
344,97.85387182233646
345,97.76572408078874
346,97.67752635967173
347,97.58951856220446
348,97.50154244548942
349,97.4134452989573
350,97.32535555410576
351,97.23750772797958
352,97.14970772427608
353,97.06194617118783
354,96.97406432068848
355,96.88623017788112
356,96.79844835207201
357,96.71061853360959
358,96.62286890014917
359,96.5353515929863
360,96.44792400932758
361,96.36057307711978
362,96.27315536440754
363,96.18580970510085
364,96.09868179228613
365,96.01186895911417
366,95.92498676043702
367,95.83807430992715
368,95.75130161747285
369,95.66465805535834
370,95.57806417890716
371,95.49144095513486
372,95.40478730135325
373,95.31825734012293
374,95.2315373980187
375,95.1450888401994
376,95.05879248567129
377,94.97259223160111
378,94.88623301180029
379,94.79993899572659
380,94.71380769664617
381,94.6276149658004
382,94.54136546360654
383,94.45526845096464
384,94.36916526923794
385,94.28284654750838
386,94.19658310070425
387,94.11065138589959
388,94.02471461841431
389,93.93875608606025
390,93.85280000183869
391,93.76681078104414
392,93.68099487779531
393,93.59512456507095
394,93.50935677467447
395,93.42369521922699
396,93.33822281415523
397,93.25245127955347
398,93.16682095558969
399,93.08135394082232
400,92.99582496095074
401,92.91064501374743
402,92.82543698398965
403,92.74025106210651
404,92.65505244677526
405,92.56935701585988
406,92.48413902005697
407,92.3992197822025
408,92.31420218937322
409,92.22898623120233
410,92.14401189390144
411,92.05909090300706
412,91.97419753409982
413,91.88926976905162
414,91.80421424608932
415,91.71945875481569
416,91.63472354032076
417,91.5501147767372
418,91.4653579941548
419,91.38086582534638
420,91.29633902879893
421,91.21173741050475
422,91.12723698185735
423,91.04277205642057
424,90.95842706545257
425,90.87395113634298
426,90.78998732139004
427,90.7059454038945
428,90.62196267997578
429,90.53782384953992
430,90.45362545396154
431,90.36940231449087
432,90.28542110248988
433,90.20134260241548
434,90.1172297283595
435,90.03307182672681
436,89.94917591278542
437,89.86530027712294
438,89.78121692039184
439,89.69704868638877
440,89.61291233921013
441,89.52898407387015
442,89.44517777827242
443,89.36120063777966
444,89.27759144554611
445,89.19398147188335
446,89.11052148083431
447,89.02717697532839
448,88.94374037900653
449,88.8599781052578
450,88.77633893460435
451,88.6925903299504
452,88.60908164605429
453,88.52571254884916
454,88.44237115832907
455,88.35892952706858
456,88.27553962166905
457,88.1921865801296
458,88.10878771564069
459,88.02538875900987
460,87.94193605965978
461,87.85850742193291
462,87.77541051257153
463,87.69218328655029
464,87.6089566982872
465,87.52611525876426
466,87.44310338197086
467,87.36036899528999
468,87.27771840656777
469,87.19486385859415
470,87.11195246935779
471,87.02931181719595
472,86.9467257326399
473,86.86397524865826
474,86.78129663568326
475,86.69843364600018
476,86.61568210636926
477,86.53348328009028
478,86.4511543306999
479,86.36893336902911
480,86.28664527764698
481,86.2043842751812
482,86.12238543099815
483,86.04039125005431
484,85.95843918050835
485,85.87669762382508
486,85.79513829259969
487,85.71331065178134
488,85.63171280187534
489,85.55023208276472
490,85.46844419555012
491,85.38682981355775
492,85.30551365663523
493,85.22434391263788
494,85.1430620323243
495,85.06185501676966
496,84.98065369290565
497,84.89968162304538
498,84.81885116696864
499,84.73787006669778
500,84.65681767900814
501,84.57596964706738
502,84.494954748069
503,84.41430500304571
504,84.3334194778608
505,84.2524925092535
506,84.17186600900548
507,84.09108238278854
508,84.01030220623126
509,83.9293680639384
510,83.84859408764248
511,83.7678086127922
512,83.6870541480991
513,83.60664094097177
514,83.52611213175327
515,83.4456231233075
516,83.36513981821527
517,83.28454087876793
518,83.20423034756162
519,83.12398080436665
520,83.04370978396967
521,82.96330280084722
522,82.88300938229989
523,82.80267857189241
524,82.72244038299527
525,82.64254102501687
526,82.56266438143888
527,82.48286615038782
528,82.40309348626398
529,82.32342352869418
530,82.24394406288306
531,82.16430451664596
532,82.0847814130053
533,82.00548624228972
534,81.92632284047468
535,81.84717787781734
536,81.76847617984703
537,81.68961954194292
538,81.6107466860602
539,81.53215377343366
540,81.4535755261924
541,81.37517414996591
542,81.29685228730288
543,81.2185016738812
544,81.14046199043247
545,81.06235093600463
546,80.98458561402563
547,80.90662636642544
548,80.8288967609006
549,80.7514058575129
550,80.67430119817195
551,80.59691337233266
552,80.51973137220946
553,80.44259126841884
554,80.36544020815992
555,80.28832528832115
556,80.21130312358883
557,80.13423063365804
558,80.05708316566285
559,79.98002797708028
560,79.90320455027972
561,79.82639987542859
562,79.74938876720975
563,79.67259692699847
564,79.59613530323456
565,79.5193535564228
566,79.44291126042727
567,79.36635009300146
568,79.29003983504998
569,79.21398831652644
570,79.13790146481
571,79.06176020403748
572,78.98570108128264
573,78.90947511720522
574,78.83345745930407
575,78.75743013156145
576,78.68127250878499
577,78.60511746668163
578,78.5291655208342
579,78.45337642503685
580,78.377557375796
581,78.30167188646728
582,78.2260291187802
583,78.1505442248322
584,78.0749598448739
585,77.99922611325387
586,77.92385664289452
587,77.84862460638793
588,77.7735853271639
589,77.6984744832721
590,77.62322938143996
591,77.54816995026636
592,77.47296698572944
593,77.39798641665297
594,77.32292840896775
595,77.24789668798309
596,77.17287219085328
597,77.098196058334
598,77.02344418658213
599,76.94882699042395
600,76.87440601330776
601,76.79990172075655
602,76.72549172501218
603,76.65130642413945
604,76.57691890832191
605,76.50248647887572
606,76.42835553490664
607,76.35422648093007
608,76.2800826926802
609,76.20617637618854
610,76.13198904681875
611,76.05783282576041
612,75.98394306628865
613,75.91004284848303
614,75.83620529573605
615,75.76251446590166
616,75.68867975206558
617,75.61487014487739
618,75.54127525095399
619,75.46762165308158
620,75.3943365737873
621,75.32093711286416
622,75.24742593545814
623,75.17404320880019
624,75.1009709519703
625,75.02764502508852
626,74.95445195965362
627,74.88131962267727
628,74.80804180801093
629,74.73511618726066
630,74.66213873399614
631,74.58912660325922
632,74.51602550148507
633,74.4432662421615
634,74.3705990908706
635,74.2980541006645
636,74.22540606481532
637,74.1528807520627
638,74.08042727995935
639,74.00816746786572
640,73.93567664585913
641,73.86324121064567
642,73.79079338662672
643,73.71819070377762
644,73.6459041856155
645,73.57345280728406
646,73.50093320505876
647,73.4285073042478
648,73.35605197465962
649,73.28359730401421
650,73.21145522111703
651,73.13956271913408
652,73.06753633103057
653,72.99560757397504
654,72.92372537237071
655,72.85204275721632
656,72.78041296386277
657,72.70866771201142
658,72.63691166456186
659,72.56526535938858
660,72.49372593588592
661,72.42262694675247
662,72.35128629426752
663,72.28013312909306
664,72.20919551659084
665,72.13833275541185
666,72.06718428244687
667,71.9962437500178
668,71.92531982004691
669,71.85435475617803
670,71.78339968352121
671,71.712771533024
672,71.6420225633114
673,71.57111482839841
674,71.50031689034819
675,71.42966839192067
676,71.35893123692097
677,71.28832051712735
678,71.21769860906315
679,71.14711362840686
680,71.07654559994427
681,71.00620106598181
682,70.93603175414508
683,70.86580604226457
684,70.79558469117516
685,70.72528883591977
686,70.65508924188072
687,70.5851284471189
688,70.51513723591346
689,70.44532259367799
690,70.37562617749597
691,70.30599355636438
692,70.23626047669005
693,70.16667231840796
694,70.0970381042325
695,70.02737043677664
696,69.95811292464099
697,69.88863111219815
698,69.81922321916434
699,69.74963645739085
700,69.68017642965837
701,69.61124078236176
702,69.54201501932533
703,69.47273221325005
704,69.40358122072142
705,69.33458836575134
706,69.26532500436107
707,69.19624944884539
708,69.12721177190372
709,69.0582485320414
710,68.98940358810911
711,68.92089703009677
712,68.85206962701619
713,68.78337774821675
714,68.71465113700879
715,68.64601067329907
716,68.57740789849251
717,68.509016341679
718,68.44059477073357
719,68.37231483859796
720,68.3040945540252
721,68.23601258751653
722,68.16809355989115
723,68.10030406736949
724,68.03250094873758
725,67.96468602689887
726,67.89695805612968
727,67.82919350542348
728,67.76166349096358
729,67.6941793784874
730,67.62678298604243
731,67.55961851700371
732,67.49248027814497
733,67.42522750016633
734,67.3579886693825
735,67.29080171519968
736,67.22371605600388
737,67.15650476929821
738,67.08940626106788
739,67.02241550764309
740,66.95525838884983
741,66.88846237830421
742,66.82156416886221
743,66.75466990927927
744,66.68781432103384
745,66.62104092532783
746,66.55444020069554
747,66.48771814914232
748,66.42104529235819
749,66.35450298648021
750,66.28813645084935
751,66.22170850584824
752,66.15545504403204
753,66.08938673468005
754,66.02332697800932
755,65.95728532804247
756,65.89131676018181
757,65.82536419017626
758,65.75930788187785
759,65.69347414691353
760,65.62771547278895
761,65.56171747667601
762,65.49589887665036
763,65.43008674971095
764,65.36449941758251
765,65.29859462922101
766,65.23263657538087
767,65.1669953483151
768,65.1014171160709
769,65.03594783796387
770,64.9703999067563
771,64.90461929782144
772,64.83921208187111
773,64.7735187675176
774,64.708115878597
775,64.64305749149302
776,64.57803546900222
777,64.5126565198371
778,64.44751407325083
779,64.38225307796506
780,64.31713311452448
781,64.2522428436107
782,64.18712060808976
783,64.12230526657115
784,64.05710050331817
785,63.99219028804707
786,63.92718475443686
787,63.86261709888268
788,63.797833592469196
789,63.73319127055632
790,63.668403643352356
791,63.6037787044721
792,63.53918957739613
793,63.4744653141099
794,63.409938253968335
795,63.345376232182666
796,63.28102257611435
797,63.21663722842919
798,63.15230164174218
799,63.08802304662025
800,63.023420382354416
801,62.95937155740975
802,62.89521820303384
803,62.83096226828093
804,62.766944083448514
805,62.70300704796905
806,62.639054391471994
807,62.57491676239165
808,62.51091359716321
809,62.44730817044995
810,62.383778836092084
811,62.320000172171234
812,62.25626071839825
813,62.19237571006908
814,62.128738959756376
815,62.06519243434576
816,62.001662291904665
817,61.93814927506298
818,61.87450341628129
819,61.8110191953959
820,61.747652184773884
821,61.68456143197753
822,61.621150210249134
823,61.557832561035084
824,61.49465128234782
825,61.4314095168837
826,61.368316977955125
827,61.30505174167049
828,61.24189383160183
829,61.17903904883167
830,61.11609422039454
831,61.053053158076
832,60.990104163109336
833,60.927166308509875
834,60.86465588750227
835,60.802261247355844
836,60.739844749555566
837,60.677486430806965
838,60.61510801569728
839,60.55266104989506
840,60.49038416735909
841,60.42856513522516
842,60.366685812221704
843,60.30505527739075
844,60.24353522885519
845,60.18187302522822
846,60.120023780927184
847,60.05828302696456
848,59.99676851594294
849,59.935109509347484
850,59.873606800504184
851,59.811725547371225
852,59.749889407214376
853,59.68856955797389
854,59.627377077255844
855,59.56603203577389
856,59.50485232541836
857,59.443849467236774
858,59.382815048234534
859,59.32169235849068
860,59.26058528574148
861,59.19951706157666
862,59.138544938297564
863,59.07737110050133
864,59.01617723959457
865,58.9549014810854
866,58.89388662862125
867,58.83274358530473
868,58.77162449588256
869,58.710437331692304
870,58.64966386434509
871,58.588877966546335
872,58.52803232783245
873,58.46719750420379
874,58.40662230511077
875,58.346010317898745
876,58.285565609139674
877,58.225088440772915
878,58.16448004021223
879,58.10414436808091
880,58.04372953229828
881,57.98306003748091
882,57.922585770313226
883,57.86244990234788
884,57.80194566048189
885,57.74162903440131
886,57.681102071413626
887,57.62060417332142
888,57.560221881394504
